RGIId,1976/1979-2000_percentDataCoverage,1976/1979-2000_volumeChange,1976/1979-2000_meanElevationChange,1976/1979-2000_geodeticMassBalance,1976/1979-2000_volumeChange_sigma,1976/1979-2000_meanElevationChange_sigma,1976/1979-2000_geodeticMassBalance_sigma,1976/1979-2000_timespan,1976/1979-2000_minYear,1976/1979-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.00396,84,-3953290.22,-0.515279954,-0.437987961,3159167.503,0.413384955,0.352734735,21-24,1976/1979,2000,93,-8823123.091,-1.207462787,-1.026343369,771193.4085,0.13575241,0.136247668,20.09582675,2000.112254,2020.208081
RGI60-17.00425,87,-7929233.546,-2.227549151,-1.893416779,1552767.456,0.463783437,0.416256296,21-24,1976/1979,2000,96,-3121520.559,-0.857903846,-0.729218269,563793.9148,0.16640202,0.150516962,20.13963326,2000.112254,2020.251887
RGI60-17.00426,79,1707788.095,0.309291022,0.262897369,1669069.392,0.303068957,0.258276164,21-24,1976/1979,2000,90,-2209109.663,-0.39834745,-0.338595333,1023225.974,0.186646139,0.160439475,20.18343977,2000.112254,2020.295694
RGI60-17.00455,73,12413445.57,3.142076631,2.670765137,6349702.45,1.622513112,1.391961936,21-24,1976/1979,2000,87,-3060698.431,-0.750770731,-0.638155121,1041497.521,0.260930536,0.226319226,20.09582675,2000.112254,2020.208081
RGI60-17.00456,65,42268069.95,0.377826315,0.321152368,15306927.4,0.139409637,0.120647135,21-24,1976/1979,2000,93,-10562576.35,-0.094018879,-0.079916047,12085079.93,0.107776123,0.091783224,20.09582675,2000.112254,2020.208081
RGI60-17.00593,83,-3663487.511,-0.935955396,-0.795562087,1330036.028,0.346185429,0.299568338,21-24,1976/1979,2000,93,-1294599.337,-0.327729008,-0.278569656,1228175.692,0.311776239,0.265738327,20.81589629,2000.112254,2020.92815
RGI60-17.00712,86,-3778272.425,-1.126696986,-0.957692438,757874.8211,0.239632872,0.214613102,21-24,1976/1979,2000,68,-741898.8195,-0.21767294,-0.185021999,1478080.826,0.433941626,0.369081532,19.80768257,2000.112254,2019.919937
RGI60-17.00962,73,371856.4856,0.076871337,0.065340637,1285284.728,0.26575368,0.22593771,21-24,1976/1979,2000,93,-1432715.001,-0.295626174,-0.251282248,2024489.228,0.418255473,0.355959362,20.09582675,2000.112254,2020.208081
RGI60-17.01019,87,431607.6072,0.049556517,0.04212304,1596772.721,0.183372456,0.155894946,21-24,1976/1979,2000,79,-5365326.147,-0.605836384,-0.514960926,1505344.435,0.175294116,0.15336993,17.65983559,2000.112254,2017.77209
RGI60-17.01276,93,1989551.62,0.367144656,0.312072958,2204859.659,0.407704278,0.347248067,21-24,1976/1979,2000,93,-2452671.266,-0.433890617,-0.368807025,1001076.065,0.179733661,0.154975858,20.05202023,2000.112254,2020.164274
